"","Pval","log2FoldChange_BCH_vs_BPFC"
"ENSMUSG00000028599",0.0439568872262806,0.397019716178215
"ENSMUSG00000028617",0.287397750962423,-0.090995714909072
"ENSMUSG00000028657",0.147498006568824,-0.0680094867444578
"ENSMUSG00000028680",0.410943922554837,0.108125902879693
"ENSMUSG00000028681",0.766888613980262,-0.111428851008723
"ENSMUSG00000028717",0.942738656365622,0.032893660819855
"ENSMUSG00000028736",0.18640043553891,1.10160230137028
"ENSMUSG00000028743",0.906693065398558,-0.0262570368079728
"ENSMUSG00000028771",0.458531127663216,-0.0760513778853393
"ENSMUSG00000028776",0.263965000400211,0.353004633437846
"ENSMUSG00000028797",0.737653429621288,-0.0338752541301957
"ENSMUSG00000028813",0.585436468753016,0.227701943038391
"ENSMUSG00000028822",0.102059361662823,-0.141893443510077
"ENSMUSG00000028861",0.637255735566446,-0.0689593681878958
"ENSMUSG00000028869",0.193684904121035,0.0853642447220279
"ENSMUSG00000028955",0.394000454630183,-0.0721701405510123
"ENSMUSG00000028974",0.267028296014855,0.0546057819869021
"ENSMUSG00000028977",0.224586646789229,0.0970316840705019
"ENSMUSG00000028988",0.358938733769282,0.05822804677194
"ENSMUSG00000029026",0.0822934973062605,0.515112489165563
"ENSMUSG00000029054",0.573120396519446,-0.0871401545321414
"ENSMUSG00000029061",0.35076155145702,0.200522286465701
"ENSMUSG00000029066",0.0108645661842425,-0.310102452912442
"ENSMUSG00000029084",0.166175866585279,0.363594306209854
"ENSMUSG00000029130",0.628013668588482,-0.0794239663043834
"ENSMUSG00000029146",0.911190811302388,-0.00846681712483096
"ENSMUSG00000029156",0.695235073890341,0.0466913046509484
"ENSMUSG00000029175",0.514398463064165,-0.0445424827903799
"ENSMUSG00000029229",0.456709270264607,0.0958433391781676
"ENSMUSG00000029238",0.635102381779242,0.0328926300586537
"ENSMUSG00000029279",0.652458260202946,0.0589421189650433
"ENSMUSG00000029287",0.465177053584599,0.115464733844799
"ENSMUSG00000029346",0.377505568070145,0.132460439114739
"ENSMUSG00000029360",0.69743340462664,-0.192659258161002
"ENSMUSG00000029402",0.591137519852254,0.0600684754573885
"ENSMUSG00000029463",0.256979425857169,-0.0726992991064421
"ENSMUSG00000029464",0.895555211183722,-0.0219748064179054
"ENSMUSG00000029471",0.941477931274505,-0.00809586765775317
"ENSMUSG00000029482",0.524568330549534,0.0621634323388878
"ENSMUSG00000029502",0.477569327822743,0.067121622244242
"ENSMUSG00000029545",0.263547658116028,-0.168328337338544
"ENSMUSG00000029560",0.728570209260658,-0.0233033434374209
"ENSMUSG00000029578",0.580839598916039,0.05383099314041
"ENSMUSG00000029592",0.437749017915072,0.0434105528300209
"ENSMUSG00000029641",0.651282343490184,0.128293810311673
"ENSMUSG00000029713",0.33965453867119,-0.0792816902401419
"ENSMUSG00000029730",0.333625137546099,0.0829291792906844
"ENSMUSG00000029757",0.132754388978869,-0.0464540121900691
"ENSMUSG00000029772",0.629215843678159,0.0618109588340076
"ENSMUSG00000029775",0.489006135850303,0.0585344306662652
"ENSMUSG00000029819",0.270479556963519,-0.189983683144112
"ENSMUSG00000029868",0.228904720782672,-0.272341003857651
"ENSMUSG00000029918",0.130076521371979,-0.217233873355339
"ENSMUSG00000030020",0.322928056467823,0.0972372057089468
"ENSMUSG00000030086",0.182569843564711,-0.275865557602055
"ENSMUSG00000030107",0.580008566940389,-0.341977195970498
"ENSMUSG00000030204",0.703137860646283,-0.0144744482032472
