"","BInt_390","BInt_391","BInt_392","BInt_398","BPFC_384","BPFC_385","BPFC_386","BPFC_387","gene"
"ENSMUSG00000121083",34.9608516957446,33.2348388852706,40.5778284202206,41.9651795723588,34.7386440857034,54.4325390145807,34.4404371017316,38.397788687791,"4930423K06Rik"
"ENSMUSG00000121084",78.3970613783363,69.2392476776471,89.7892373553819,57.7021219119933,64.1328813889909,77.5251313237968,48.7906192274531,75.785109252219,"Gm56860"
"ENSMUSG00000121089",9.53477773520306,42.9283335601412,28.4908156993039,18.8843308075615,6.23514124615189,4.1236771980743,10.5234668921958,11.1151493569921,"Gm57052"
"ENSMUSG00000121091",39.1985306891682,84.4718821667294,65.6152119135483,59.8003808906113,37.4108474769114,51.1335972561213,32.5270794849687,62.649023648501,"Gm56861"
"ENSMUSG00000121092",64.6246046497097,200.793818265177,122.596843312156,121.69902075984,125.593559386774,37.1130947826687,93.7545232213805,157.633027244616,"Gm56862"
"ENSMUSG00000121094",29.6637529539651,106.628441423577,25.9007415448217,47.2108270189036,26.7220339120795,28.8657403865201,17.2202185508658,14.1465537270809,"Gm57443"
"ENSMUSG00000121095",330.53896148704,512.370432814589,515.424756741952,422.799184191515,397.267570826249,273.812165952133,336.750940550265,366.79992878074,"Gm30455"
"ENSMUSG00000121096",1183.37185891354,667.466347612518,655.288761083989,856.089663276119,802.551751826122,889.064803904819,854.31417588462,793.217476839892,"Gm57390"
"ENSMUSG00000121103",9.53477773520306,72.008817584753,25.0373834933276,27.2773667220332,5.34440678241591,14.8452379130675,19.1335761676287,20.2093624672584,"Gm34854"
"ENSMUSG00000121107",110.179653829013,109.398011330682,97.5594598188284,94.4216540378073,68.5865537076708,94.8445755557089,127.238281514731,74.7746411288561,"9330133O14Rik"
"ENSMUSG00000121114",12.7130369802708,9.69349467487059,9.49693856643462,12.5895538717076,24.0498305208716,9.89682527537832,15.3068609341029,15.1570218504438,"Gm41291"
"ENSMUSG00000121115",54.0304071661507,92.7805918880471,56.9816313986077,78.6847116981727,35.6293785494394,41.236771980743,47.8339404190717,39.4082568111539,"Gm57320"
"ENSMUSG00000121129",19.0695554704061,13.8478495355294,5.18014830896434,10.4912948930897,24.0498305208716,11.546296154608,10.5234668921958,4.04187249345168,"Gm57231"
