"","log2FoldChange","pvalue","padj","BInt_390","BInt_391","BInt_392","BInt_398","BPFC_384","BPFC_385","BPFC_386","BPFC_387","gene"
"ENSMUSG00000017288",0.00338530001627556,0.976454563426265,0.986982866430278,1112.39073577369,1231.07382370857,1120.63875083928,1164.53373313296,1107.18293842383,1195.04165200193,1092.5271991716,1242.87579173639,"Vps53"
"ENSMUSG00000017291",-0.0634370914617687,0.666802022110728,0.81443849372801,1361.35437663733,2014.86210741953,1737.07639960604,1608.31550711065,1760.09130034231,1496.07008746136,1602.4370040389,1571.27793182934,"Taok1"
"ENSMUSG00000017299",-0.349847139756524,0.0336865728779359,0.153217602268342,673.79095995435,901.495004762965,568.952955934583,795.240152896199,592.33841838443,603.706341798077,536.696811501984,569.904021576687,"Dnttip1"
"ENSMUSG00000017307",-0.405650519824578,0.0479033608174847,0.182941642530133,312.528825764989,490.213873557741,296.131811662461,301.100163431674,290.379435177931,241.647483807154,300.39714583177,221.29251901648,"Acot8"
"ENSMUSG00000017314",0.369671060732107,0.0387291700911612,0.164295016275114,3654.99813182784,2183.80587175299,2240.41414362708,2373.13090481689,3534.43435210439,3445.74466671088,3506.22783271795,3019.2787526084,"Mpp2"
"ENSMUSG00000017344",-0.167569952550053,0.326380479410489,0.542381194339414,1286.13557450406,1427.71328711308,1686.13827456789,1756.24276510322,1296.90937919959,1320.40143882339,1126.01095746495,1740.02610843095,"Vtn"
"ENSMUSG00000017376",0.0668610188713296,0.636575677167334,0.794132016113742,1445.04853675744,1693.59199819525,1682.68484236192,1298.8223077645,1450.11570696218,1510.91532537442,1804.29623260738,1645.04210483483,"Nlk"
"ENSMUSG00000017386",0.256837117161357,0.13994069252732,0.334553003481596,164.210060995164,127.400215726871,144.180794599507,176.253754203907,187.054237384557,180.617061275654,190.379082867905,174.810985341785,"Traf4"
"ENSMUSG00000017390",0.00706359678858197,0.954314654527631,0.9768099349095,15501.4297579435,15387.7304038803,15514.5441853482,17171.1023515199,14615.17108098,15696.36488675,14915.5793014749,18661.3253022664,"Aldoc"
"ENSMUSG00000017400",0.160404606983057,0.226978885158801,0.44263582447735,2212.06843456711,1694.9767831488,1708.58558390674,1976.5599578581,1978.32124395762,2085.75592678598,2161.13742813366,2261.42766008622,"Stac2"
