"","log2FoldChange","pvalue","padj","BCH_309","BCH_313","BCH_314","BCH_317","BPFC_384","BPFC_385","BPFC_386","BPFC_387","gene"
"ENSMUSG00000073481",0.0947602987983508,0.463644001027918,0.999725012385107,827.762036321921,689.146200817868,1043.72690851878,984.656739428783,932.476440400245,858.70231665975,955.571875707149,1039.85269592495,"Mtarc2"
"ENSMUSG00000073485",0.266187887258072,0.530859774198344,0.999725012385107,11.3547604433734,23.1645781787519,14.839719078466,11.0387526841792,15.6951480067368,15.2733613635133,22.6578898363551,19.757201222574,"H3f3aos"
"ENSMUSG00000073514",0.085040765809903,0.485275493938191,0.999725012385107,954.935353287703,1092.59593743113,1086.26743654371,837.8413287292,1001.71974042997,920.644282189554,1037.33730424704,1257.18190937326,"Dok6"
"ENSMUSG00000073530",-0.625927459028389,0.0416831371440009,0.907755941382254,30.6578531971082,51.1551101447437,52.4336740772465,36.4278838577913,28.6205640122848,21.2130018937685,33.4942719320032,28.0760227899736,"Pappa2"
"ENSMUSG00000073532",-0.0859409205603033,0.742639499739717,0.999725012385107,57.9092782612044,31.8512949957838,53.4229886824776,50.7782623472242,47.0854440202104,44.9715640147893,44.3306540276512,45.7535186206976,"Gm7276"
"ENSMUSG00000073538",0.756115289646584,0.0357892064022087,0.907755941382254,15.8966646207228,19.3038151489599,15.8290336836971,14.3503784894329,33.2367840142662,29.6982026512759,25.6132667715318,21.8369066144239,"E330020D12Rik"
"ENSMUSG00000073542",-0.296564905258214,0.208837405475579,0.991445290930587,120.360460699758,111.962127863967,116.739123417266,240.644808515106,107.096304045969,122.186890908107,119.200203052129,131.021439686543,"Cep76"
"ENSMUSG00000073557",-0.0807425121393596,0.436622382198556,0.999725012385107,2140.37234357589,2507.56558784989,2028.09494072369,2034.44211969422,2237.94345696059,2139.96763104337,2095.36224704032,1762.55031959278,"Ppp1r12b"
"ENSMUSG00000073563",0.0676064084616465,0.547397486155831,0.999725012385107,936.767736578306,1004.76357850336,951.720650232286,746.219681450513,912.165072391527,881.61235870502,954.58675006209,1068.96857141085,"Csnk1g3"
"ENSMUSG00000073565",0.226989613753376,0.207001801269075,0.991445290930587,133.986173231806,178.560290127879,137.514730127118,142.399909625911,126.484428054291,196.008137498421,173.382113530369,198.611864921665,"Prr16"
"ENSMUSG00000073590",-0.0903096042790911,0.783748453627237,0.999725012385107,24.9804729754215,24.1297689361999,47.4871010510912,29.8046322472838,33.2367840142662,26.304122348273,33.4942719320032,25.9963173981237,"3222401L13Rik"
"ENSMUSG00000073591",0.025561887276123,0.867067616178178,0.999725012385107,250.940205798552,189.177388459807,192.916348020058,205.320799925733,174.493116074897,212.130018937685,238.400406104258,227.727740407563,"Pcdhb22"
"ENSMUSG00000073599",0.0534601385378166,0.866276857614312,0.999725012385107,38.6061855074696,39.5728210553678,37.5939549987805,19.8697548315225,30.4670520130773,28.0011624997744,37.4347745122388,45.7535186206976,"Ecscr"
"ENSMUSG00000073600",-0.217661544377577,0.124208965159926,0.967831785579763,221.417828645781,223.924255727935,218.638527756066,202.009174120479,200.343948085993,212.130018937685,163.53085707978,167.416284043916,"Prob1"
"ENSMUSG00000073609",-0.0277351166403218,0.832179039849593,0.999725012385107,205.521164025059,181.455862400223,208.745381703755,203.113049388897,197.574216084804,202.796298104427,194.069752076607,188.213337962415,"D2hgdh"
"ENSMUSG00000073616",0.148655180476694,0.224070284039586,0.993061617943024,928.819404267945,802.073519439284,957.656537863673,1234.13255009123,1108.81604447594,1031.8004121129,1090.53408908022,1115.76194272747,"Cops9"
"ENSMUSG00000073627",-0.134858645876296,0.571685722685511,0.999725012385107,60.180230349879,83.0064051405275,50.4550448667844,54.089888152478,60.9341040261546,56.8508450752996,57.1372874134172,50.9527821003224,"C130036L24Rik"
"ENSMUSG00000073633",-0.141479685199525,0.474406433182361,0.999725012385107,79.4833231036138,82.0412143830795,67.2733931557126,80.582894594508,66.4735680285323,71.2756863630622,72.8992977343598,69.6701306269714,"Fbxo36"
"ENSMUSG00000073639",0.0947968282615868,0.245952047594962,0.993211295874261,2247.1070917436,2195.80897319419,2348.63287281855,2089.63588311512,2243.48292096297,2341.91540907204,2292.3873760521,2608.99041407569,"Rab18"
"ENSMUSG00000073643",0.0298030163395708,0.802340087796871,0.999725012385107,339.507337256865,347.468672681278,335.377651173332,298.046322472838,337.907304145039,369.106232951572,345.77910141568,294.27831294676,"Wdfy1"
"ENSMUSG00000073647",-0.0138376081624324,0.969922467712177,0.999725012385107,42.0126136404816,30.8861042383358,19.7862921046213,23.1813806367763,18.4648800079256,36.4863632572819,37.4347745122388,21.8369066144239,"Gm10557"
"ENSMUSG00000073650",0.136665705493521,0.658598337649256,0.999725012385107,69.2640387045778,42.4683933277118,42.5405280249359,43.0511354682988,51.7016640221918,85.7005276508248,38.4199001572977,39.514402445148,"Catip"
