"","BCH_309","BCH_313","BCH_314","BCH_317","BPFC_384","BPFC_385","BPFC_386","BPFC_387","gene"
"ENSMUSG00000038489",374.707094631322,332.990811319558,424.415965644128,513.301999814332,449.61982819299,386.925154542338,448.232168501807,467.933713166226,"Polr2l"
"ENSMUSG00000038495",1272.86864570216,1341.61515285271,1246.53640259114,1214.26279525971,1058.03762445414,1094.59089771846,1059.99519408339,1093.92503611304,"Otud7b"
"ENSMUSG00000038496",21.5740448424095,40.5380118128158,36.6046403935495,23.1813806367763,29.543808012681,19.515961742267,17.7322616110605,29.1158754858985,"Slc19a3"
"ENSMUSG00000038497",852.742509297343,790.491230349908,902.254919970733,832.32195238711,751.520616322574,833.246714387227,800.907149432899,847.479947178831,"Tmco3"
"ENSMUSG00000038500",566.602546124333,582.010026741141,566.877268797401,527.652378303765,575.181012246884,571.054010980249,583.194381874879,530.324874921723,"Prr3"
"ENSMUSG00000038502",3029.45008629202,2850.20830674393,3456.66523067735,3803.95417496815,3319.98542542503,3121.70535868698,3380.9512138422,3325.44892156798,"Ptov1"
"ENSMUSG00000038503",983.322254396137,1014.41548607784,1182.23095325112,966.994735134096,1028.49381644146,1033.4974522644,1059.99519408339,1120.96120620709,"Mesd"
"ENSMUSG00000038506",824.355608188909,863.845727915955,798.376886421471,746.219681450513,798.606060342784,930.826523098563,886.613080553025,723.737476363763,"Dcun1d2"
"ENSMUSG00000038507",237.314493266504,172.769145583191,170.162112099743,150.127036504837,201.26719208639,182.431816286409,169.441610950134,127.901881598768,"Parp12"
"ENSMUSG00000038510",336.100909123853,269.288221327991,273.050831043774,270.44944076239,324.058644139095,250.313422346469,270.909552391202,353.549916614482,"Rpf2"
"ENSMUSG00000038515",111.276652345059,83.0064051405275,84.0917414446407,65.1286408366572,78.475740033684,78.0638469690682,79.7951772497722,68.6302779310465,"Grtp1"
"ENSMUSG00000038517",2069.97282882697,1949.68533004495,1788.68080625777,2162.4916508307,1683.07381272242,1751.34543634953,1775.19641239617,1541.06169536077,"Tbkbp1"
"ENSMUSG00000038518",685.827530779754,693.972154605108,612.38574063803,710.895672861139,636.115116273039,604.994814010278,602.896894776057,502.248852131749,"Jarid2"
"ENSMUSG00000038520",1236.53341228336,1125.41242318436,1241.58982956499,1415.16809411177,1251.91886453736,1156.53286324826,1186.09127665094,1166.71472482779,"Tbc1d17"
"ENSMUSG00000038521",17.0321406650601,8.68671681703195,9.89314605231067,7.72712687892543,24.9275880106996,24.6070821967715,12.8066333857659,18.717348526649,"C1s1"
"ENSMUSG00000038522",15.8966646207228,11.5822890893759,22.7542359203145,14.3503784894329,25.8508320110959,19.515961742267,15.7620103209427,7.27896887147462,"Mfsd4b1"
