"","BInt_390","BInt_391","BInt_392","BInt_398","BNPFC_381","BNPFC_382","BNPFC_383","BNPFC_389","gene"
"ENSMUSG00000093904",3888.99980935266,3183.49690540298,4332.1145039993,3769.34547322608,3078.13300998182,4204.38883303758,4967.97047675739,4705.69389030602,"Tomm20"
"ENSMUSG00000093908",18.3625736525101,0,5.53675397626348,2.90024016919165,10.4407841843355,21.9686900954937,11.3092010853014,12.5218038592497,"Gm5784"
"ENSMUSG00000093910",95.6786732420262,85.1134447972863,51.4127154938752,98.608165752516,90.1704088647156,117.166347175966,112.284210775492,105.183152417697,"Zfp853"
"ENSMUSG00000093930",3251.14198773915,2510.21144655877,4212.67881108276,2768.76261485496,2418.46528197153,3358.07120031118,3688.41515396329,3635.07966034017,"Hmgcs1"
"ENSMUSG00000093954",28.0270861011996,21.5959486799085,26.8928050275655,11.6009606767666,1.89832439715191,40.7989958916311,45.2368043412055,63.8611996821732,"Gm16867"
"ENSMUSG00000093979",34.7922448152823,15.2441990681707,20.5650861975501,15.4679475690221,17.0849195743672,14.6457933969958,17.7716017054736,25.0436077184993,"Gm2237"
"ENSMUSG00000093985",18.3625736525101,16.5145489905182,22.9379807588059,7.73397378451106,12.3391085814874,10.4612809978541,4.84680046512916,10.0174430873997,"Gm10406"
"ENSMUSG00000093989",177.827029055887,229.933335944908,143.955603382851,189.482357720521,205.019034892406,159.011471167383,165.599015891913,136.487662065821,"Rnasek"
"ENSMUSG00000094002",482.259171189607,572.927814978748,496.72592815621,501.741549270155,496.411829855224,573.278198682407,537.187051551816,549.70718942106,"Silc1"
"ENSMUSG00000094091",16.4296711627722,10.1627993787804,9.49157824502312,10.6342139537027,24.6782171629748,2.09225619957083,5.65460054265069,0,"Ankrd40cl"
"ENSMUSG00000094152",17.3961224076411,29.2180482139938,22.9379807588059,6.76722706144718,25.6273793615507,28.2454586942062,12.1170011628229,23.7914273325743,"Slc6a16"
"ENSMUSG00000094281",20.295476142248,19.0552488352133,11.8644728062789,11.6009606767666,18.9832439715191,15.6919214967812,4.84680046512916,8.76526270147476,"Gm8034"
"ENSMUSG00000094344",4.83225622434476,27.9476982916462,12.6554376600308,11.6009606767666,18.0340817729431,12.553537197425,6.46240062017222,7.51308231554979,"Gm11942"
"ENSMUSG00000094410",87.9470632830746,43.1918973598169,37.9663129800925,25.135414799661,37.0173257444622,88.9208884817602,217.298220853291,247.931716413143,"Zbed6"
"ENSMUSG00000094441",72.4838433651714,66.0581959620729,74.3506962526811,76.3729911220467,37.9664879430381,86.8286322821893,100.975009690191,106.435332803622,"Zfp955a"
"ENSMUSG00000094483",8212.90267889635,16904.5464166789,9389.54377888912,10445.6983427053,8530.12067860209,7218.28388851936,8138.58578102939,8072.80694805825,"Purb"
"ENSMUSG00000094500",65.7186846510887,152.441990681707,157.402005896633,122.776833829113,106.306166240507,55.4447892886269,55.7382053489854,46.3306742792237,"Smim18"
"ENSMUSG00000094595",12.5638661832964,15.2441990681707,22.9379807588059,15.4679475690221,11.3899463829114,13.5996652972104,25.0418024031673,7.51308231554979,"Fsbp"
"ENSMUSG00000094622",46.3896597537097,30.4883981363413,39.5482426875963,20.3016811843415,21.8307305672469,36.6144834924895,40.3900038760764,42.5741331214488,"Gm3055"
"ENSMUSG00000094626",1253.48726459503,655.500559931339,847.914323222065,923.243120526008,904.551575242883,1153.87929406331,1279.5553227941,1243.41512322349,"Tmem121b"
"ENSMUSG00000094638",18.3625736525101,44.4622472821645,12.6554376600308,10.6342139537027,28.4748659572786,7.3228966984979,6.46240062017222,7.51308231554979,"Gm21972"
"ENSMUSG00000094707",11.5974149384274,8.89244945643289,16.6102619287905,10.6342139537027,10.4407841843355,18.8303057961374,19.3872018605167,18.7827057888745,"A830019P07Rik"
"ENSMUSG00000094724",21.2619273871169,27.9476982916462,34.0114887113328,46.4038427070664,16.1357573757912,23.0148181952791,23.4262022481243,37.565411577749,"Rnaset2b"
"ENSMUSG00000094732",42.5238547742339,77.4913452632009,37.1753481263405,39.6366156456192,36.0681635458862,28.2454586942062,25.0418024031673,11.2696234733247,"1500015L24Rik"
"ENSMUSG00000094786",20.295476142248,11.433149301128,49.0398209326194,29.9691484149804,27.5257037587026,34.5222272929187,50.0836048063347,65.1133800680982,"Gm14403"
"ENSMUSG00000094832",56.0541722023992,154.982690526402,43.503066956356,42.5368558148108,41.7631367373419,37.6606115922749,25.0418024031673,13.7739842451746,"Gm21846"
"ENSMUSG00000094840",313.13020333754,121.953592545365,182.712881216695,165.313689643924,272.409550991299,194.579826560087,187.409617984994,201.601042133919,"Muc3a"
"ENSMUSG00000094868",50.2554647331855,52.0843468162498,25.3108753200616,30.9358951380442,22.7798927658229,13.5996652972104,15.348201472909,23.7914273325743,"Dlx6os2"
"ENSMUSG00000094870",427.171450232077,344.264828956188,412.092688804754,478.539627916622,340.749229288767,454.01959530687,542.841652094466,539.68974633366,"Zfp131"
"ENSMUSG00000094891",5.79870746921371,10.1627993787804,6.32771883001541,19.3349344612777,10.4407841843355,12.553537197425,9.69360093025833,8.76526270147476,"Or10h1b"
"ENSMUSG00000094910",2214.13980199477,1855.98123654978,1867.4680197083,1959.59560765049,1642.0506035364,1795.15581923177,2020.30799388134,2053.57583291694,"D430019H16Rik"
"ENSMUSG00000094936",47.3561109985786,80.032045107896,58.5313991776425,47.3705894301303,60.746380708861,66.9521983862665,53.3148051164208,68.8699212258731,"Rbm4"
"ENSMUSG00000094942",4.83225622434476,13.9738491458231,18.1921916362943,10.6342139537027,3.79664879430381,13.5996652972104,7.27020069769375,8.76526270147476,"Gm3604"
"ENSMUSG00000095041",4768.47044218341,2089.72562226173,3928.72242858582,4734.15870284383,1874.59534218751,3307.85705152148,1501.70034411252,1373.64188335969,"ENSMUSG00000095041"
"ENSMUSG00000095098",2408.39650221343,7332.45975179009,2474.13806253603,3531.52577935236,3354.33920976742,2826.63812562019,1981.53359016031,1965.9232059022,"Ccdc85b"
"ENSMUSG00000095105",6.76515871408266,15.2441990681707,3.16385941500771,13.5344541228944,15.1865951772153,11.5074090976396,12.9248012403444,5.00872154369986,"Edaradd"
"ENSMUSG00000095115",69.5844896305645,53.3546967385974,96.497712157735,68.6390173375357,70.2380026946205,86.8286322821893,105.82181015532,106.435332803622,"Itpripl2"
"ENSMUSG00000095123",292.834727195292,199.444937808566,232.543667003066,186.582117551329,230.646414253957,255.255256347641,240.724423101415,252.940437956843,"Gm21781"
"ENSMUSG00000095139",288.002470970948,575.468514823443,329.041379160801,317.092925164953,304.681065742881,357.775810126611,350.585233644343,371.897574619715,"Pou3f2"
"ENSMUSG00000095193",12.5638661832964,11.433149301128,18.9831564900462,19.3349344612777,9.49162198575953,14.6457933969958,22.6184021706028,18.7827057888745,"Gm20939"
"ENSMUSG00000095253",247.411518686452,292.180482139938,256.272612615624,252.320894719673,193.629088509494,293.961996039701,268.997425814669,315.549457253091,"Zfp799"
"ENSMUSG00000095276",34.7922448152823,64.7878460397254,32.429559003829,20.3016811843415,61.695542907437,14.6457933969958,17.7716017054736,12.5218038592497,"Gfy"
"ENSMUSG00000095304",163.330260382853,496.706819637894,177.176127240431,240.719934042907,259.121280211235,200.856595158799,175.292616822171,115.200595505097,"Plac9"
"ENSMUSG00000095315",25.1277323665927,27.9476982916462,30.0566644425732,9.66746723063883,23.7290549643988,24.0609462950645,15.348201472909,25.0436077184993,"Zfp1001"
"ENSMUSG00000095325",123.705759343226,87.6541446419814,129.718236015316,140.178274844263,123.391085814874,164.24211166631,128.440212325923,177.809614801345,"Zfp870"
"ENSMUSG00000095332",61.8528796716129,11.433149301128,11.8644728062789,30.9358951380442,44.6106233330698,80.5518636834769,113.092010853014,120.209317048797,"Gm9821"
"ENSMUSG00000095334",85.0477095484677,30.4883981363413,59.3223640313945,81.2067247373661,41.7631367373419,88.9208884817602,137.32601317866,155.270367854696,"Gm21984"
"ENSMUSG00000095362",137.236076771391,66.0581959620729,205.650861975501,99.5749124755799,66.4413539003167,109.843450477468,170.445816357042,196.59232059022,"Gm14325"
"ENSMUSG00000095366",28.0270861011996,78.7616951855485,5.53675397626348,43.5036025378747,33.2206769501584,25.1070743948499,18.5794017829951,10.0174430873997,"G530011O06Riky"
"ENSMUSG00000095403",35.7586960601512,7.62209953408534,20.5650861975501,28.0356549688526,12.3391085814874,30.337714893777,45.2368043412055,46.3306742792237,"Gm21092"
"ENSMUSG00000095407",183.625736525101,114.33149301128,114.689903794029,143.078515013455,134.781032197785,227.009797653435,215.682620698248,231.653371396119,"Tmem200c"
"ENSMUSG00000095432",128.538015567571,94.0058942537191,118.644728062789,81.2067247373661,108.204490637659,110.889578577254,128.440212325923,103.930972031772,"Zfp748"
"ENSMUSG00000095440",45.4232085088407,34.299447903384,31.6385941500771,45.4370959840025,58.8480563117091,52.3064049892707,42.8134041086409,30.0523292621992,"Fignl2"
"ENSMUSG00000095478",19.329024897379,20.3255987575609,31.6385941500771,32.869388584172,26.5765415601267,24.0609462950645,29.8886028682965,30.0523292621992,"Gm9824"
"ENSMUSG00000095562",362.419216825857,350.616578567926,64.068153153906,409.900610579086,201.222386098102,155.873086868027,116.3232111631,128.974579750271,"Erdr1x"
"ENSMUSG00000095567",2260.52946174848,2397.15030346984,1842.94810924199,1960.56235437355,2485.85579807042,1906.04539780902,1842.5919768266,1885.783661203,"Noc2l"
"ENSMUSG00000095616",3.86580497947581,25.4069984469511,8.70061339127119,22.2351746304693,18.0340817729431,0,0.807800077521527,0,"Gm26244"
"ENSMUSG00000095677",27.0606348563306,50.8139968939022,44.2940318101079,23.2019213535332,63.5938673045889,57.5370454881978,17.7716017054736,25.0436077184993,"Dynlt1f"
"ENSMUSG00000095687",16.4296711627722,43.1918973598169,32.429559003829,35.7696287533637,22.7798927658229,20.9225619957083,17.7716017054736,13.7739842451746,"Rnaset2a"
"ENSMUSG00000095690",28.0270861011996,11.433149301128,20.5650861975501,15.4679475690221,15.1865951772153,17.784177696352,13.732601317866,23.7914273325743,"Rab11b-ps2"
"ENSMUSG00000095762",26.0941836114617,19.0552488352133,17.4012267825424,29.0024016919165,31.3223525530065,23.0148181952791,13.732601317866,11.2696234733247,"Gm16378"
"ENSMUSG00000095789",24.1612811217238,17.7848989128658,15.8192970750385,14.5012008459582,23.7290549643988,16.7380495965666,12.1170011628229,5.00872154369986,"Nupr2"
"ENSMUSG00000095845",14.4967686730343,30.4883981363413,29.2656995888213,25.135414799661,20.881568368671,20.9225619957083,16.1560015504305,21.2870665607244,"Gng14"
"ENSMUSG00000095930",502.554647331855,332.83167965506,476.16084195866,469.838907409047,412.88555638054,495.864719298286,470.139645117529,434.506593915963,"Nim1k"
"ENSMUSG00000095990",33.8257935704133,17.7848989128658,16.6102619287905,28.0356549688526,30.3731903544305,20.9225619957083,32.3120031008611,46.3306742792237,"Zfp97"
"ENSMUSG00000096014",352.754704377167,378.564276859572,329.041379160801,345.128580133806,369.224095246046,330.576479532191,398.245438218113,344.349606129365,"Sox1"
"ENSMUSG00000096039",42.5238547742339,16.5145489905182,34.8024535650848,30.9358951380442,21.8307305672469,17.784177696352,24.2340023256458,20.0348861747994,"D830030K20Rik"
