"","log2FoldChange","pvalue","padj","BInt_390","BInt_391","BInt_392","BInt_398","BNPFC_381","BNPFC_382","BNPFC_383","BNPFC_389","gene"
"ENSMUSG00000036062",0.43278880553917,0.0505932040614098,0.53473220939015,4303.60739340144,2312.03685867255,3055.49723004369,3042.35193748204,3044.91233303166,4376.99996950217,4953.43007536201,4788.33779577707,"Phf24"
"ENSMUSG00000036067",-0.00929193114399999,0.955125775447816,0.985960656653008,452.299182598669,536.087667230669,441.358388393575,460.171440178408,551.463237372629,501.095359797213,433.78864162906,388.175919636739,"Slc2a6"
"ENSMUSG00000036073",0.0540064861578206,0.72100961137261,0.914137185847416,741.268104814486,734.262255116887,727.687665451772,756.96268415902,926.38230581013,792.965099637344,693.900266590992,658.646882996532,"Galt"
"ENSMUSG00000036078",0.250578540225633,0.132526728864561,0.606901299624862,640.757175348115,431.918973598169,499.098822717466,598.416221576543,694.786729357598,661.152959064381,634.93086093192,592.281322542509,"Sigmar1"
"ENSMUSG00000036086",0.013416434229313,0.949014522648865,0.984761167957251,120.806405608619,102.898343710152,126.554376600308,100.541659198644,89.2212466661396,126.581500074035,117.131011240621,123.965858206572,"Zranb3"
"ENSMUSG00000036087",-0.0734585469113255,0.701272467549515,0.907894888979439,289.935373460685,275.66593314942,281.583487935686,311.29244482657,214.510656878165,234.332694351933,327.159031396219,325.566900340491,"Slain2"
"ENSMUSG00000036091",0.00829824414604161,0.986995976594739,0.995294772443848,14.4967686730343,17.7848989128658,7.90964853751926,13.5344541228944,17.0849195743672,6.27676859871248,13.732601317866,16.2783450170245,"Hyal3"
"ENSMUSG00000036093",0.289505292623443,0.153147680464911,0.625243563941435,798.288728261754,628.82321156204,825.767307317011,730.860522636295,676.752647584655,770.99640954185,1029.13729876243,1173.29302161169,"Arl5a"
"ENSMUSG00000036095",-0.0734972623988234,0.722607553243817,0.91498673634454,1873.9489638009,1896.6324340649,2224.19316875042,1905.45779115891,1244.35164233307,1676.94334395602,2301.42242085883,2286.48138469899,"Dgkb"
"ENSMUSG00000036097",0.260310131646815,0.18718734311108,0.646034951410968,682.31457887748,491.625419948504,609.833902242735,479.506374639686,538.174966592566,627.676859871248,683.398865583212,865.256646674151,"Slf2"
"ENSMUSG00000036098",0.392429057232847,0.0782088179634989,0.563801063685977,745.133909793962,359.509028024358,619.325480487758,674.78921269859,700.481702549054,810.749277333696,736.713670699633,905.32641902375,"Myrf"
"ENSMUSG00000036099",-0.104720742869588,0.491054282263329,0.817656051611078,985.78026976633,1131.88178081167,1173.00087811411,899.074452449411,922.585657015827,891.301141017173,954.819691630445,1129.46670810432,"Vezt"
"ENSMUSG00000036103",0.0452820026232436,0.814347247069124,0.946171606694833,148.833491709819,156.253040448749,114.689903794029,138.244781398135,142.374329786393,150.6424463691,156.713215039176,122.713677820647,"Colec12"
"ENSMUSG00000036104",0.291152381427524,0.159955293455484,0.631745199887009,1315.34014426664,788.887301777832,1233.11420699925,1083.72307655461,1003.26444389478,1368.33555451932,1434.65293767823,1607.79961552766,"Rab3gap1"
"ENSMUSG00000036106",-0.396297059043307,0.0808581035149543,0.563909918665804,201.988310177611,172.767589439268,163.729724726649,159.513209305541,149.967627375001,125.53537197425,90.473608682411,166.53999132802,"Prr5"
"ENSMUSG00000036111",-0.231851826509783,0.349248888522983,0.74869175981678,214.552176360907,402.700925384175,187.458670339207,277.456309519334,253.42630701978,236.424950551504,196.295418837731,232.905551782044,"Lmo1"
"ENSMUSG00000036112",-0.351102892356033,0.0527737344433019,0.535563181960509,1586.91294407482,2644.86853832761,2309.61737295562,1929.62645923551,1862.25623360602,1538.85443478434,1555.82294930646,1682.93043868315,"Metap2"
"ENSMUSG00000036114",-0.415220526129758,0.111075001813252,0.589086671898927,270.606348563306,509.41031886137,355.143219334615,361.563274425892,386.309014820413,309.653917536482,194.679818682688,230.401191010194,"Rpp25l"
"ENSMUSG00000036120",0.197324780179746,0.303404985144796,0.723265979897949,217.451530095514,231.203685867255,162.147795019145,181.74838393601,270.511226594147,201.902723258585,218.913821008334,214.122845993169,"Rfxank"
"ENSMUSG00000036123",0.759810467771253,0.196087381806341,0.651991099634012,20.295476142248,7.62209953408534,9.49157824502312,6.76722706144718,34.1698391487343,7.3228966984979,19.3872018605167,13.7739842451746,"Slc9a3"
"ENSMUSG00000036131",-0.233335275589786,0.635309014440489,0.883410497948976,198.122505198135,29.2180482139938,87.7970987664638,94.7411788602605,33.2206769501584,80.5518636834769,141.365013566267,93.9135289443724,"Frmd7"
"ENSMUSG00000036138",-0.189672766878026,0.341412932758388,0.742939602965046,1426.48203742657,2131.6471696992,1367.57823213708,1599.96582667073,1837.57801644305,1389.25811651503,1280.36312287162,1210.85843318944,"Acaa1a"
"ENSMUSG00000036151",0.917726655379896,0.0247107766392406,0.481132327588727,59.919977181875,15.2441990681707,34.8024535650848,29.0024016919165,44.6106233330698,47.0757644903436,84.0112080622388,88.9048074006725,"Tm6sf2"
"ENSMUSG00000036155",0.30581138074032,0.0935933413052118,0.573093011302751,1215.79566604514,860.026897429296,954.694578478575,875.872531095878,949.162198575953,1183.1708808573,1266.63052155375,1432.49436149816,"Mgat5"
"ENSMUSG00000036158",0.0682791512249822,0.687087902844929,0.904046710795837,1257.35306957451,969.276990751185,1174.58280782161,1026.68501989384,942.518063185922,1096.34224857511,1201.19871527451,1406.19857339374,"Prickle1"
"ENSMUSG00000036160",0.190697276214114,0.207892934014725,0.660830494439422,345.023094418216,304.883981363413,291.866031034461,269.722335734823,337.901742693039,334.760991931332,332.813631938869,378.158476549339,"Surf6"
"ENSMUSG00000036167",0.33480861734556,0.237028219780686,0.678694371671095,316.996008317016,190.552488352133,402.60111055973,290.024016919165,222.103954466773,396.482549818672,377.242636202553,522.15922093071,"Pphln1"
"ENSMUSG00000036168",-0.214511483867234,0.534189206215626,0.837398075627251,37.6915985498891,39.3808475927742,30.8476292963251,32.869388584172,33.2206769501584,20.9225619957083,42.8134041086409,22.5392469466494,"Ccdc38"
"ENSMUSG00000036169",0.00928936088489311,0.974809205958978,0.990943439996098,56.0541722023992,76.2209953408534,48.2488560788675,94.7411788602605,55.0514075174053,66.9521983862665,63.8162061242007,91.4091681725225,"Sostdc1"
"ENSMUSG00000036180",0.143946562968808,0.26965171152187,0.70213519292517,437.802413925635,421.756174219389,426.330056172288,442.769999163258,518.242560422471,456.11185150644,448.329043024448,488.350350510736,"Gatad2a"
"ENSMUSG00000036181",-0.0266433470202114,0.902015298177173,0.969527161356717,324.727618275968,574.198164901095,346.442605943344,428.2687983173,477.428585883704,441.466058109445,377.242636202553,343.09742574344,"H1f2"
"ENSMUSG00000036186",0.221313276021946,0.179008359586127,0.64167967570168,726.771336141452,947.681042071277,714.24126293799,996.715871478863,1027.94266105776,1068.09678988091,955.627491707967,891.552434778575,"Dipk1b"
"ENSMUSG00000036188",-0.202661786001773,0.120126613583591,0.599193760355866,808.919691955312,847.32339820582,849.496252929569,814.000740819789,825.771112761079,692.536802057944,701.170467288686,663.655604540231,"Ankmy2"
"ENSMUSG00000036192",0.210974663280776,0.295069694594476,0.719191805123014,464.863048781966,397.619525694785,528.364522306287,308.392204657379,421.428016167723,459.250235805797,510.529648993605,578.507338297334,"Rorb"
"ENSMUSG00000036196",-0.291734946297262,0.186232377136801,0.646034951410968,131.437369302177,189.282138429786,117.062798355285,115.042860044602,116.746950424842,114.02796287661,108.245210387885,110.191873961397,"Slc26a8"
"ENSMUSG00000036197",0.340146614172386,0.133511591686761,0.607882479718326,208.753468891694,172.767589439268,215.933405074276,129.54406089056,182.239142126583,205.041107557941,268.997425814669,265.462241816093,"Gxylt1"
"ENSMUSG00000036198",0.243552972168484,0.47537543754463,0.811546434599717,64.7522334062198,49.5436469715547,118.644728062789,89.9074452449411,93.9670576590194,58.5831735879832,86.4346082948034,146.505105153221,"Arhgap36"
