"","log2FoldChange","pvalue","padj","BNPFC_381","BNPFC_382","BNPFC_383","BNPFC_389","BPFC_384","BPFC_385","BPFC_386","BPFC_387","gene"
"ENSMUSG00000053693",-0.0125068708983344,0.931775735443914,0.992296998440719,810.746142537413,1226.00766617262,1169.92942784606,1242.46807014237,1134.79938370932,1142.0212989813,1115.69493264579,1015.76610274102,"Mast1"
"ENSMUSG00000053702",0.299316238007611,0.100339159135355,0.922113547260711,569.76869966735,750.29409247799,989.336294688615,1061.3307165039,940.186176949458,1087.25005557991,1031.11499311813,1087.67874718286,"Nebl"
"ENSMUSG00000053714",0.059089664070437,0.74834057448143,0.965067208622271,154.184719802455,209.042781789802,205.893620411387,179.795595463367,211.497457574642,232.164673522326,148.252478273206,187.771904931477,"4732471J01Rik"
"ENSMUSG00000053716",0.0470641216885435,0.731125524178039,0.962113926702898,873.032684974166,1215.83801732879,1258.04491793737,1191.48125948858,1151.6836345241,1292.43784802394,1172.71511659702,1070.69937280076,"Dusp7"
"ENSMUSG00000053730",-0.152652912119342,0.376972518703076,0.922113547260711,278.757804675962,193.223328032735,208.510912196278,203.947242615162,231.936287508326,192.925573772074,202.421653026877,168.794957092657,"Tmem39b"
"ENSMUSG00000053746",-0.144939514031954,0.508987554771682,0.932037477529552,92.9192682253206,117.515942195348,95.0949348510221,65.7461505798879,73.757516717207,97.280268130834,79.8282575317261,85.8956586388669,"Ptrh1"
"ENSMUSG00000053754",-0.023405350037581,0.820492125151888,0.976738057530995,2385.26824806977,1951.44261703236,1986.5244647319,2056.91528242792,2188.73209246362,2076.40236178419,2083.13738701838,1896.69599715358,"Chd8"
"ENSMUSG00000053768",-0.161510690173005,0.134488739365491,0.922113547260711,910.813046780066,794.362570801246,808.743161531169,802.371388709652,760.67993144493,760.257557661139,654.781779039992,790.040302131904,"Chchd3"
"ENSMUSG00000053769",0.0183420397194897,0.913327507489734,0.991213348807959,182.775263871784,143.505044796242,126.502436269708,148.935157436073,143.071809535787,143.876699084259,161.557187861827,160.804663265786,"Lysmd1"
"ENSMUSG00000053774",0.190584028414768,0.183310194309011,0.922113547260711,530.967247001832,682.496433519136,751.162742263578,811.76369593535,731.354653713992,801.131619900985,782.126856531079,851.965079290157,"Ubxn7"
"ENSMUSG00000053783",0.130956941106115,0.605798501101266,0.944362113373894,54.1178155598021,42.9385173406079,40.1318073683212,50.9868106537906,40.8776598673677,50.6838371774093,51.3181655561097,62.9235638866118,"Liat1"
"ENSMUSG00000053799",0.159274014596435,0.194838564714514,0.922113547260711,535.051610440308,562.720569358493,662.1748215773,609.158211495288,606.944384552438,637.635370941601,645.27841504812,758.079126824418,"Exoc6"
"ENSMUSG00000053801",-0.0490755280902533,0.722896176639625,0.961668527444017,467.65961370546,368.36728034311,371.655433454453,350.198883701035,426.549494268185,353.151897752271,363.028504489516,364.557155851005,"Grwd1"
