"","BNPFC_381","BNPFC_382","BNPFC_383","BNPFC_389","BPFC_384","BPFC_385","BPFC_386","BPFC_387","gene"
"ENSMUSG00000042708",36.7592709462807,41.8085563579603,20.9383342791241,56.3538433541896,51.5413972240724,35.9691747710647,25.6590827780548,25.9684549373319,"Shcbp1l"
"ENSMUSG00000042709",433.963615338036,416.955602596956,435.342866886789,374.350530852831,363.455714907683,347.429529038693,366.829850086265,320.610539803213,"Atpaf2"
"ENSMUSG00000042712",1928.84063382012,1463.29947252861,1350.52256100351,1317.60652794796,1514.25070465206,1460.02150320731,1534.79328468735,1719.91074623406,"Tceal9"
"ENSMUSG00000042719",332.875620235764,431.645095371374,525.20321816803,603.791178794889,468.315798915278,585.316571274597,566.400493915581,439.466160477924,"Naa25"
"ENSMUSG00000042724",222.597807396922,322.038880054559,396.955920708395,385.084596253629,302.139225106631,420.185359825619,334.5184125139,171.791317277734,"Map3k9"
"ENSMUSG00000042726",1781.80355003499,1475.72904333773,1566.88534855446,1372.61861312705,1542.68733760327,1407.7027035403,1479.6737735345,1233.50160952326,"Trafd1"
"ENSMUSG00000042729",766.8392355738,691.536121380317,615.063569449271,583.664806168392,560.734856006718,599.213752436145,653.831442640805,553.32784751084,"Wdr74"
"ENSMUSG00000042734",653.498150156101,942.387459528078,889.006776267812,1109.6340108075,798.003012193396,998.962081141841,918.02496161485,958.835259224561,"Ttc9"
"ENSMUSG00000042737",312.453803043386,232.771962425401,172.741257802774,144.909882910773,185.726758962606,168.401136428166,199.570643829315,169.793743821016,"Dpm3"
"ENSMUSG00000042742",321.643620779956,371.757163291053,403.935365468103,513.893381063205,505.638879663744,456.154534596684,489.423245581416,590.28295646012,"Bmt2"
"ENSMUSG00000042743",1054.78685798633,1709.63096674578,2134.8376658757,2396.38010072816,1903.47711817178,2126.2687177168,2039.42191265577,2083.4691153567,"Sgtb"
"ENSMUSG00000042744",2725.29150432286,3567.2868222184,3641.52530337767,4029.29979982456,3461.27141703038,4158.52709228195,3662.59648246753,2867.51669711845,"Hectd4"
"ENSMUSG00000042745",306.327257885672,210.172742772449,222.469801715694,171.745046412768,212.386102354367,193.743055016871,195.769298232566,186.773118203118,"Id1"
"ENSMUSG00000042747",715.784692592854,602.269203751158,457.153631760877,448.147230483317,430.104073387087,457.789497086277,517.933337557033,502.389724364536,"Krtcap2"
"ENSMUSG00000042750",7550.96690688182,5661.10452306436,4369.13241957723,4033.32507434986,4686.71256827168,4427.47842182014,4607.23086325962,5122.77712975289,"Bex2"
"ENSMUSG00000042751",2470.01878941814,2562.7515086447,2497.76879338052,2664.73173574811,2394.00903658019,2467.97587804191,2411.95378113715,2562.88674496898,"Nmnat2"
"ENSMUSG00000042757",489.102521757457,346.898021672806,370.78300285949,382.40107990343,418.551691250657,316.36524173641,420.048688440749,418.491639182387,"Tmem108"
"ENSMUSG00000042759",27.5694532097105,18.0793757223612,13.9588895194161,9.39230722569827,14.2183164756062,12.2622186719539,18.0563915845571,20.9745212955373,"Apobr"
