"","BCH_309","BCH_313","BCH_314","BCH_317","BInt_390","BInt_391","BInt_392","BInt_398","gene"
"ENSMUSG00000067389",20.7519910745335,19.5212646827835,6.41002025182173,35.7939970962487,14.0860399579286,13.220786192539,4.10472436643596,34.006926713707,"Gm17080"
"ENSMUSG00000067424",282.227078613655,294.59363066746,262.810830324691,220.90009636542,201.229142256123,219.465050796148,263.523304325189,227.046246000338,"Zfp563"
"ENSMUSG00000067430",252.136691555582,205.86060938208,211.530668310117,175.901928587279,179.093936607949,195.667635649578,263.523304325189,192.039115559757,"Zfp763"
"ENSMUSG00000067547",14.5263937521734,9.76063234139173,10.0728889671484,19.4310269951064,11.0676028240867,13.220786192539,11.4932282260207,12.0024447224848,"Gm7666"
"ENSMUSG00000067567",238.647897357135,256.438431514746,229.845011886751,319.077916972274,221.352056481735,198.311792888086,244.641572239583,227.046246000338,"Hdac8"
"ENSMUSG00000067571",52.9175772400604,126.000890225239,83.3302632736825,46.0208534094626,171.044770917704,111.054604017328,105.080943780761,136.027706854828,"Ms4a15"
"ENSMUSG00000067578",339.295054068622,336.298150671588,325.079598485245,313.964488815667,280.714653447291,137.496176402406,357.931964753216,212.043190097232,"Cbln4"
"ENSMUSG00000067586",135.925541538194,124.226229799531,149.261900149563,131.926446440459,118.725193931112,91.2234247285194,150.232911811556,92.0187428723835,"S1pr3"
"ENSMUSG00000067594",219.971105390055,165.043419590806,268.305133397681,239.308437729205,259.585593510398,173.192299122261,192.101100349203,235.047875815327,"Krt77"
"ENSMUSG00000067597",19.7143915208068,18.6339344699297,25.6400810072869,14.3175988384995,17.1044770917704,21.1532579080625,13.9560628458823,24.0048894449696,"Dgat2l6"
"ENSMUSG00000067629",5087.35061192188,4772.94921494056,4876.19397727867,4804.57709594789,5460.35277511989,2546.32342068302,2457.90895062185,3368.68615211074,"Syngap1"
