"","log2FoldChange","pvalue","padj","BCH_309","BCH_313","BCH_314","BCH_317","BInt_390","BInt_391","BInt_392","BInt_398","gene"
"ENSMUSG00000090077",0.135109846585448,0.734913203329626,0.849219776258035,35.2783848267069,16.8592740442221,27.4715153649503,26.5898264143562,41.2519741625051,13.220786192539,28.7330705650517,32.0065192599595,"Lime1"
"ENSMUSG00000090083",0.623534978291733,0.00615195665407409,0.0484498460538325,312.317465671729,272.410375346115,307.680972087443,342.599686492666,362.212456061021,743.008184020694,384.202200698406,417.084954106347,"Rnf8"
"ENSMUSG00000090086",0.0605051297069813,0.771859434646193,0.871478480459083,601.807741161471,458.749720045411,347.972527956037,370.212198538343,579.539929697633,391.335271299156,399.800153290863,483.098400080013,"AI480526"
"ENSMUSG00000090093",-0.245620221395085,0.440842299565448,0.627267760705126,117.248749571114,118.014918309555,76.0045258430291,65.451880404569,61.3748883881174,46.2727516738866,124.783620739653,83.0169093305199,"Gm14399"
"ENSMUSG00000090100",-0.533107147917774,0.000435837026121994,0.0136108948612122,970.15558273444,1141.99398394283,965.165906488586,963.36986470475,772.719906263511,612.122400714558,797.958416835151,607.123662212356,"Ttbk2"
"ENSMUSG00000090110",0.22587322010659,0.377129342393515,0.567884976076059,66.4063714385071,81.634379582549,84.2459804525142,58.2930809853193,67.4117626558011,104.444210921058,67.3174796095497,103.020983867995,"Cmc4"
"ENSMUSG00000090112",-0.5533732864697,0.0028232224549799,0.0321679730843835,644.349322864264,712.526160921597,554.924610371996,465.321962251233,428.618073005541,339.774205148253,490.104089352454,359.07313794767,"Shprh"
"ENSMUSG00000090115",-0.225195733500262,0.212658323046119,0.397396516151829,265.625485754028,221.832553213448,201.457779342969,224.990838890706,233.425805017102,202.278028745847,176.503147756746,170.034633568535,"Usp49"
"ENSMUSG00000090121",0.474649958358176,0.174160287438602,0.350454489803407,20.7519910745335,31.9438876627366,38.4601215109304,21.4763982577492,49.30113985275,25.1194937658242,42.689133410934,39.0079453480756,"Abhd12b"
"ENSMUSG00000090122",0.0660674683669542,0.777575644601392,0.875436388010876,84.0455638518606,99.3809838396249,67.763071233544,115.563476339317,80.491656902449,109.732525398074,95.2296053013143,99.0201689604996,"Kcne5"
