"","BCH_309","BCH_313","BCH_314","BCH_317","BNPFC_381","BNPFC_382","BNPFC_383","BNPFC_389","gene"
"ENSMUSG00000042535",1135.99681550399,1031.40077235706,1093.46995403719,1200.61885401021,1210.13127876596,1210.61143321488,1036.43656749342,1078.07472433692,"Gtpbp1"
"ENSMUSG00000042540",37.1780775983123,12.3415477034178,41.6387565279061,45.477986894326,30.3021564149797,36.6851949459056,30.7276866965197,32.0093445468207,"Acot5"
"ENSMUSG00000042541",643.387287326349,556.251185775472,591.994494983708,604.351914729043,1170.05423318486,743.414685815558,604.587997704495,528.794371913478,"Sem1"
"ENSMUSG00000042548",845.801265361605,840.988322075753,782.084470437192,803.444435133092,494.609391805798,630.122172012026,688.466277605805,727.252308103767,"Asxl1"
"ENSMUSG00000042549",18.5890387991561,28.2092518935263,18.1038071860461,23.2443044126555,20.5272672488572,20.5005501168296,25.7448185835705,34.5700921105664,"Map2k3os"
"ENSMUSG00000042557",567.998407751993,648.812793551105,601.951588936033,602.330670867073,430.095123309389,476.907534296773,579.673657139749,660.67287144638,"Sin3a"
"ENSMUSG00000042558",542.180298308721,516.581925300201,578.416639594173,530.576513767136,823.045667787513,746.651614781373,562.233618744427,544.158857295952,"Adprs"
"ENSMUSG00000042564",115.66513030586,121.652398790832,100.476129882556,90.955973788652,45.9419790807757,93.8709400086408,101.318318296632,98.5887812042078,"Fam227a"
"ENSMUSG00000042567",62.9961870415847,66.1154341254523,47.0698986837199,38.4036333774308,32.2571342482042,50.7118871311048,49.8286811294913,79.3831744761154,"Nek10"
"ENSMUSG00000042569",397.598885426395,359.667961642461,394.662996655805,402.227528532039,448.667412725022,399.221239117208,445.966696108947,381.551386998103,"Dhrs7b"
"ENSMUSG00000042570",571.096580885186,607.380454832489,583.847781749987,606.373158591013,665.669952212941,687.307917074761,665.212893078709,645.308386063906,"Mier2"
"ENSMUSG00000042572",1425.15964126864,1525.06268049377,1379.51010757671,1568.48523688875,1518.04028749882,1597.96393279077,1498.18234596004,1549.25227606612,"Ube2q1"
"ENSMUSG00000042579",256.115645677262,241.541719338319,189.184785094182,142.497692268888,250.237162652736,212.558335421865,266.583444042779,248.392513683329,"4632404H12Rik"
