"","log2FoldChange","pvalue","padj","BCH_309","BCH_313","BCH_314","BCH_317","BNPFC_381","BNPFC_382","BNPFC_383","BNPFC_389","gene"
"ENSMUSG00000026109",0.189196853051615,0.138700314775015,0.811188251474495,1126.70229610441,1079.00388492738,1029.20143852672,979.292651124486,964.781560696289,1230.03300700978,1249.86941833141,1362.31770391269,"Tmeff2"
"ENSMUSG00000026110",-0.0965817416882694,0.54087566498031,0.907474073980652,591.751068439804,696.415906121431,652.642249056963,505.310965492511,470.172168890491,512.51375292074,633.654728363365,673.476609265108,"Mgat4a"
"ENSMUSG00000026111",0.236928945325825,0.0517559950108279,0.778238117240891,535.983952042336,498.951142866747,471.604177196501,464.88608825311,527.844014970614,591.279024422243,540.641190254981,667.074740355744,"Unc50"
"ENSMUSG00000026112",-0.170942202454225,0.218844101989618,0.827518911184902,1137.02953988172,1204.1824402049,1086.22843116277,940.889017747055,801.540911622043,910.65601571601,1037.26704551224,1133.13079695745,"Coa5"
"ENSMUSG00000026113",-0.0235037010516444,0.819669072155133,0.968411598197056,2452.72039711088,2517.67573149722,2434.0568761639,2162.73093230795,2091.82628155021,2335.98373699664,2450.74063355215,2536.42046189007,"Inpp4a"
"ENSMUSG00000026116",-0.192156709991877,0.169697045731156,0.818422514072182,1149.42223241449,1407.8179773113,1022.86510601161,1197.58698821725,852.37033528588,1119.97742217206,1097.06146286763,1113.92519022936,"Tmem131"
"ENSMUSG00000026117",0.336297092671188,0.156341386330228,0.811188251474495,48.5380457533522,52.0108081786892,51.5958504802314,52.5523404112211,67.4467352462451,73.3703898918112,46.5067690541919,72.9813055667512,"Zap70"
"ENSMUSG00000026121",0.184340145875926,0.256273328220967,0.834124874296969,317.046383963385,226.555554269883,220.866447669763,264.782945918076,330.39125381494,307.508251752444,270.735834136903,258.635503938311,"Sema4c"
"ENSMUSG00000026123",-0.119943179429638,0.394862558992381,0.870097342577175,4232.10449994122,4318.66015707455,4901.60579562199,5030.87597244344,3222.78095807058,4386.0387486796,4559.32432334846,4842.37364304304,"Plekhb2"
"ENSMUSG00000026126",0.269313482586707,0.395102426560088,0.870097342577175,25.8181094432724,31.7354083802171,23.53494934186,24.2549263436405,40.0770455811022,28.0533843703984,34.8800767906439,23.0467280737109,"Ptpn18"
"ENSMUSG00000026127",-0.0829972933107373,0.512428722248122,0.901480730223355,428.580616758322,531.568090368637,504.191030131384,556.852683972747,488.744458306124,426.195647165668,488.321075069015,505.747643839767,"Imp4"
"ENSMUSG00000026131",-0.256283173954601,0.115942890148167,0.806836112257528,5213.19265878557,5759.97662100941,4311.42168135688,5405.81670883888,3129.91951099242,4435.67165948876,4451.36218090123,5308.42969964475,"Dst"
"ENSMUSG00000026134",0.202349985474447,0.264560732769168,0.836374325490437,105.337886528551,123.415477034178,95.9501780860444,91.966595719637,115.343692160245,130.556134954546,106.301186409582,129.317751969156,"Prim2"
"ENSMUSG00000026135",-0.303128665009339,0.0885901969111896,0.798481709373988,456.464174957057,471.623430094893,394.662996655805,420.418723289769,242.417251319838,339.877541410596,407.764707243004,423.803721799906,"Zfp142"
"ENSMUSG00000026141",-0.0899112628261935,0.616531481077006,0.923717824066825,136.319617860478,143.69087683265,113.148794912788,150.582667716768,106.546291910735,124.082277022916,148.655565369649,130.598125751029,"Col19a1"
"ENSMUSG00000026142",-0.541507935982488,0.00467300812854085,0.686905545530419,133.221444727286,106.666233722396,143.020076769764,117.232143994263,72.3341798293064,82.0022004673184,97.996406221333,90.9065385129708,"Rhbdd1"
"ENSMUSG00000026147",0.155137712497375,0.776701939740961,0.960126371523145,15.4908656659635,20.275399798472,7.24152287441845,5.05310965492511,12.7073559159592,10.789763219384,9.13525820707341,21.7663542918381,"Col9a1"
"ENSMUSG00000026150",0.143709025651382,0.149375710576847,0.811188251474495,2548.76376423985,2445.38952352006,2384.27140640227,2151.61409106711,2450.56471394691,2585.22726736441,2882.58920334107,2608.12139367495,"Mff"
"ENSMUSG00000026153",-0.48910732767898,0.0215982032809059,0.749791155603574,403.795231692781,414.323387186168,401.904519530224,296.112225778611,171.060560407143,264.349198874908,358.766504132338,285.523353357641,"Fam135a"
"ENSMUSG00000026154",0.220542667076165,0.193695632383376,0.823352563567418,250.952023788608,201.872458863048,216.340495873251,216.273093230795,326.481298148491,263.27022255297,227.55097715801,212.54204779089,"Sdhaf4"
"ENSMUSG00000026155",-0.217591975800902,0.174265981067107,0.82002032846888,552.50754208603,617.077385170888,612.813873247661,670.04234024307,377.310721812328,572.93642694929,612.062299873919,546.719604859698,"Smap1"
"ENSMUSG00000026156",-0.154149964876673,0.22908227694325,0.829509048128184,287.097377009189,296.197144882026,285.134963180226,297.122847709596,244.372229153062,262.191246231031,243.330059515683,300.887838740115,"B3gat2"
"ENSMUSG00000026158",0.0373107659310277,0.793627448815836,0.962204865529821,2154.26305194665,2391.61563709803,2907.47143407901,3189.52281418873,3076.15762057874,2499.98813793127,2652.54679212659,2692.62606327856,"Ogfrl1"
"ENSMUSG00000026159",-0.110083451505625,0.584172516230236,0.917993089982342,1084.36059661744,1200.65628371821,1116.09971301974,1093.49292932579,654.917574130206,924.682707901209,1146.89014399713,1440.42050460693,"Agfg1"
"ENSMUSG00000026162",0.297003369122788,0.258736832338384,0.83466456954099,38.2108019760432,48.4846516919984,38.0179950906969,39.4142553084159,53.7618904136736,37.764171267844,47.3372470730168,64.0186890936414,"Nhej1"
"ENSMUSG00000026163",-0.253734458887295,0.157329603469096,0.811188251474495,1744.27147398749,1824.78598186248,1790.46653069996,2017.2013742461,1020.49842894319,1471.72370312398,1724.90284509923,1971.77562408416,"Sphkap"
"ENSMUSG00000026167",-0.0569894089529656,0.798057089884018,0.962315420722992,99.1415402621661,93.4431468973059,153.882361081392,163.720752819574,130.006025909429,131.635111276485,122.910746786079,104.990650113572,"Wnt10a"
"ENSMUSG00000026170",0.0981185598922351,0.68626308424068,0.940248281589886,128.057822838631,132.230868250905,70.6048480255799,134.412716821008,160.308182324409,126.240229666793,110.453576503706,99.8691549860806,"Cyp27a1"
"ENSMUSG00000026171",0.26942909482987,0.110470601062036,0.801017691508126,781.772353942289,714.928227676558,708.764051333706,713.499083275425,1218.92867901547,805.995312487985,731.651134584698,760.54202643246,"Rnf25"
"ENSMUSG00000026172",0.0570241024192224,0.653916874512573,0.931613953795688,389.337090404548,345.563335695697,345.782717253481,393.131931153173,415.432789560205,395.984310151393,390.324668847682,327.775688159444,"Bcs1l"
